city_id,city_name,country,latitude,longitude,weather_date,temp,humidity,cloudiness,wind_speed
1689663,San Isidro,PH,15.02,120.82,09/28/20,            77,94,75,4.7
576093,Blagoyevo,RU,63.37,47.92,09/28/20,            50.41,92,99,4.7
124291,Mehrān,IR,33.12,46.16,09/28/20,            75.2,23,0,2.24
1581349,Ha Giang,VN,22.83,104.98,09/28/20,            76.5,85,96,1.5
3391889,Pitimbu,BR,-7.47,-34.81,09/28/20,            84.2,66,75,12.75
986717,Kruisfontein,ZA,-34,24.73,09/28/20,            55,68,0,1.99
2156643,Mount Gambier,AU,-37.83,140.77,09/28/20,            42.8,93,100,8.05
3838859,Río Gallegos,AR,-51.62,-69.22,09/28/20,            44.6,39,40,17.22
3521912,Paraiso,MX,18.4,-93.23,09/28/20,            89.6,70,40,4.18
1606030,Surin,TH,14.88,103.49,09/28/20,            81,80,100,9.08
2972349,Arrondissement de Toul,FR,48.67,5.92,09/28/20,            52.97,100,100,5.82
2654970,Brae,GB,60.4,-1.35,09/28/20,            53.6,87,20,16.11
5779548,Payson,US,40.04,-111.73,09/28/20,            60.66,35,1,3.36
6096551,Pangnirtung,CA,66.15,-65.71,09/28/20,            33.8,80,75,12.75
6620339,Karratha,AU,-20.74,116.85,09/28/20,            72.09,26,29,16.26
3440034,Tacuarembó,UY,-31.73,-55.98,09/28/20,            65.68,52,0,12.06
2018735,Nyurba,RU,63.28,118.33,09/28/20,            42.22,89,92,11.56
778707,Mehamn,NO,71.04,27.85,09/28/20,            44.6,87,20,4.7
1175156,Kamalia,PK,30.73,72.65,09/28/20,            82.09,22,0,4.34
2036776,Huadian,CN,42.96,126.75,09/28/20,            52.09,92,100,5.23
4676740,Brownsville,US,25.9,-97.5,09/28/20,            88.16,66,40,4.7
376332,Doka,SD,13.52,35.77,09/28/20,            79.66,64,20,4.29
2126710,Beringovskiy,RU,63.05,179.32,09/28/20,            37.56,74,87,6.58
2120769,Talaya,RU,61.38,152.75,09/28/20,            35.51,85,62,7.76
1053384,Toamasina,MG,-18.17,49.38,09/28/20,            71.6,100,40,3.36
3402648,Carutapera,BR,-1.2,-46.02,09/28/20,            85.89,58,11,10.8
3381041,Mana,GF,5.66,-53.78,09/28/20,            86.47,63,0,13.85
3421193,Paamiut,GL,61.99,-49.67,09/28/20,            36.86,75,0,21.59
3883615,Lautaro,CL,-38.52,-72.45,09/28/20,            53.6,76,75,4.7
187725,Maralal,KE,1.1,36.7,09/28/20,            66.58,59,56,13.31
140951,Behbahān,IR,30.6,50.24,09/28/20,            88.18,38,0,11.41
2194098,Ahipara,NZ,-35.17,173.17,09/28/20,            56.08,77,22,16.17
5920381,Chase,CA,50.82,-119.69,09/28/20,            56.37,67,75,8.05
522377,Nevinnomyssk,RU,44.63,41.95,09/28/20,            66,4,0,17
2125906,Dukat,RU,62.55,155.55,09/28/20,            31.41,98,70,6.98
100926,Umluj,SA,25.02,37.27,09/28/20,            87.08,55,0,4.74
3982266,Tecate,MX,32.57,-116.63,09/28/20,            89.94,18,0,16.11
3733380,Campoverde,PE,-8.48,-74.81,09/28/20,            91.4,55,75,6.93
2021031,Kyren,RU,51.68,102.14,09/28/20,            36.75,75,0,2.8
4982044,Waldoboro,US,44.1,-69.38,09/28/20,            65.86,100,90,6.93
3114530,Palencia,ES,42.42,-4.5,09/28/20,            60.69,40,49,1.01
1253237,Verāval,IN,20.9,70.37,09/28/20,            79.93,77,22,8.21
1488708,Ubinskoye,RU,55.31,79.68,09/28/20,            48.7,89,100,8.7
1863997,Fukuechō,JP,32.69,128.84,09/28/20,            71.19,72,0,9.86
485699,Svetlogorsk,RU,54.94,20.15,09/28/20,            48.2,87,2,2.24
3855075,General Pico,AR,-35.66,-63.76,09/28/20,            75.2,29,0,7.52
2140558,Koumac,NC,-20.57,164.28,09/28/20,            70.72,87,87,18.86
3146487,Raudeberg,NO,61.99,5.14,09/28/20,            57,89,83,15.64
2075720,Broome,AU,-17.97,122.23,09/28/20,            77,78,22,6.93
187231,Maua,KE,0.23,37.94,09/28/20,            67.73,62,59,8.41
200061,Port Victoria,KE,0.09,33.98,09/28/20,            74.88,67,3,4.83
3893629,Coquimbo,CL,-29.95,-71.34,09/28/20,            59,72,75,19.46
6301965,Howard Springs,AU,-12.5,131.05,09/28/20,            77.83,88,40,3.83
6355222,Yulara,AU,-25.24,130.99,09/28/20,            66.2,88,90,10.29
1805270,Jishou,CN,28.32,109.72,09/28/20,            63.1,91,100,1.34
556268,Ostrovnoy,RU,68.05,39.51,09/28/20,            50.41,88,98,15.5
3981391,Tomatlán,MX,19.93,-105.25,09/28/20,            91.27,63,93,2.26
3395981,Maceió,BR,-9.67,-35.74,09/28/20,            80.6,74,75,10.29
2239862,Malanje,AO,-9.54,16.34,09/28/20,            75.4,54,61,7.63
2318123,Yenagoa,NG,4.92,6.26,09/28/20,            75.69,92,99,5.41
355449,Esna,EG,25.29,32.55,09/28/20,            91.4,29,0,7.52
2179639,Warkworth,NZ,-36.4,174.67,09/28/20,            54.66,86,38,15.01
2665171,Vänersborg,SE,58.38,12.32,09/28/20,            55.27,93,88,8.05
